"@timestamp","data.win.system.eventID","agent.name","data.win.eventdata.authenticationPackageName","data.win.system.processID","data.win.system.systemTime","data.win.eventdata.logonType","data.win.eventdata.logonProcessName","data.win.eventdata.targetUserName"
"Apr 17, 2025 @ 19:36:42.077",4624,"LAB3-11",Negotiate,1032,"2025-04-17T13:59:22.2575155Z",5,Advapi,SYSTEM
"Apr 17, 2025 @ 19:36:42.062",4624,"LAB3-11",Negotiate,1032,"2025-04-17T13:55:56.2631884Z",5,Advapi,SYSTEM
"Apr 17, 2025 @ 19:36:42.061",4624,"LAB3-11",Negotiate,1032,"2025-04-17T13:53:36.3954382Z",5,Advapi,SYSTEM
"Apr 17, 2025 @ 19:36:42.046",4624,"LAB3-11",Negotiate,1032,"2025-04-17T13:45:23.7361383Z",5,Advapi,SYSTEM
"Apr 17, 2025 @ 19:36:42.046",4624,"LAB3-11",Negotiate,1032,"2025-04-17T13:45:53.8497633Z",5,Advapi,SYSTEM
"Apr 17, 2025 @ 19:36:42.030",4624,"LAB3-11",Negotiate,1032,"2025-04-17T13:43:53.1992277Z",5,Advapi,SYSTEM
"Apr 17, 2025 @ 19:36:42.025",4624,"LAB3-18",Negotiate,928,"2025-04-16T15:37:48.1274101Z",5,Advapi,SYSTEM
"Apr 17, 2025 @ 19:36:42.014",4624,"LAB3-11",Negotiate,1032,"2025-04-17T13:40:57.2098975Z",5,Advapi,SYSTEM
"Apr 17, 2025 @ 19:36:41.999",4624,"LAB3-11",Negotiate,1032,"2025-04-17T13:40:11.2862693Z",5,Advapi,SYSTEM
"Apr 17, 2025 @ 19:36:41.983",4624,"LAB3-11",Negotiate,1032,"2025-04-17T13:40:09.8381277Z",5,Advapi,SYSTEM
"Apr 17, 2025 @ 19:36:41.968",4624,"LAB3-11",Negotiate,1032,"2025-04-17T13:39:12.0437230Z",5,Advapi,SYSTEM
"Apr 17, 2025 @ 19:36:41.963",4624,"LAB3-18",Negotiate,928,"2025-04-16T15:37:48.1273754Z",5,Advapi,SYSTEM
"Apr 17, 2025 @ 19:36:41.959",4624,"LAB3-11",Negotiate,1032,"2025-04-17T13:36:31.4583803Z",5,Advapi,SYSTEM
"Apr 17, 2025 @ 19:36:41.951",4624,"LAB3-11",Negotiate,1032,"2025-04-17T13:33:50.9079313Z",5,Advapi,SYSTEM
"Apr 17, 2025 @ 19:36:41.935",4624,"LAB3-11",Negotiate,1032,"2025-04-17T13:30:56.8170831Z",5,Advapi,SYSTEM
"Apr 17, 2025 @ 19:36:41.919",4624,"LAB3-11",Negotiate,1032,"2025-04-17T13:30:55.7656317Z",5,Advapi,SYSTEM
"Apr 17, 2025 @ 19:36:41.917",4624,"LAB3-18",NTLM,928,"2025-04-16T15:37:48.0284920Z",3,NtLmSsp,Administrator
"Apr 17, 2025 @ 19:36:41.903",4624,"LAB3-11",Negotiate,1032,"2025-04-17T13:30:55.7460884Z",5,Advapi,SYSTEM
"Apr 17, 2025 @ 19:36:41.889",4624,"LAB3-11",Negotiate,1032,"2025-04-17T13:30:55.3993852Z",5,Advapi,SYSTEM
"Apr 17, 2025 @ 19:36:41.874",4624,"LAB3-11",Negotiate,1032,"2025-04-17T13:30:50.7792530Z",5,Advapi,SYSTEM
"Apr 17, 2025 @ 19:36:41.858",4624,"LAB3-11",Negotiate,1032,"2025-04-17T13:30:50.6620643Z",5,Advapi,SYSTEM
